date,target,feature1,feature2,feature3
2022-01-01,10,2,4,6
2022-01-02,12,3,5,7
2022-01-03,11,2,4,6
2022-01-04,13,3,5,7
2022-01-05,10,2,4,6
2022-01-06,12,3,5,7
2022-01-07,11,2,4,6
2022-01-08,13,3,5,7
2022-01-09,10,2,4,6
2022-01-10,12,3,5,4
2022-01-10,13,3,2,5
2022-01-10,14,3,3,6
2022-01-10,15,3,4,8
2022-01-10,16,3,5,2
2022-01-10,17,3,6,4
2022-01-10,18,3,7,6
2022-01-01,10,2,4,6
2022-01-02,12,3,5,7
2022-01-03,11,2,4,6
2022-01-04,13,3,5,7
2022-01-05,10,2,4,6
2022-01-06,12,3,5,7
2022-01-07,11,2,4,6
2022-01-08,13,3,5,7
2022-01-09,10,2,4,6
2022-01-10,12,3,5,7
2022-01-11,11,2,4,6
2022-01-12,13,3,5,7
2022-01-13,10,2,4,6
2022-01-14,12,3,5,7
2022-01-15,11,2,4,6
2022-01-16,13,3,5,7
2022-01-17,10,2,4,6
2022-01-18,12,3,5,7
2022-01-19,11,2,4,6
2022-01-20,13,3,5,7
2022-01-21,10,2,4,6
2022-01-22,12,3,5,7
2022-01-23,11,2,4,6
2022-01-24,13,3,5,7
2022-01-25,10,2,4,6
2022-01-26,12,3,5,7
2022-01-27,11,2,4,6
2022-01-28,13,3,5,7
2022-01-29,10,2,4,6
2022-01-30,12,3,5,7
2022-01-31,11,2,4,6
2022-02-01,13,3,5,7
2022-02-02,10,2,4,6
2022-02-03,12,3,5,7
2022-02-04,11,2,4,6
2022-02-05,13,3,5,7
2022-02-06,10,2,4,6
2022-02-07,12,3,5,7
2022-02-08,11,2,4,6
2022-02-09,13,3,5,7
2022-02-10,10,2,4,6
2022-02-11,12,3,5,7
2022-02-12,11,2,4,6
2022-02-13,13,3,5,7
2022-02-14,10,2,4,6
2022-02-15,12,3,5,7
2022-02-16,11,2,4,6
2022-02-17,13,3,5,7
2022-02-18,10,2,4,6
2022-02-19,12,3,5,7
2022-02-20,11,2,4,6
2022-02-21,13,3,5,7
2022-02-22,10,2,4,6
2022-02-23,12,3,5,7
2022-02-24,11,2,4,6
2022-02-25,13,3,5,7
2022-02-26,10,2,4,6
2022-02-27,12,3,5,7
2022-02-28,11,2,4,6
2022-03-01,13,3,5,7
2022-03-02,10,2,4,6
2022-03-03,12,3,5,7
2022-03-04,11,2,4,6
2022-03-05,13,3,5,7
2022-03-06,10,2,4,6
2022-03-07,12,3,5,7
2022-03-08,11,2,4,6
2022-03-09,13,3,5,7
2022-03-10,10,2,4,6
2022-03-11,12,3,5,7
2022-03-12,11,2,4,6
2022-03-13,13,3,5,7
2022-03-14,10,2,4,6
2022-03-15,12,3,5,7
2022-03-16,11,2,4,6
2022-03-17,13,3,5,7
2022-03-18,10,2,4,6
2022-03-19,12,3,5,7
2022-03-20,11,2,4,6
2022-03-21,13,3,5,7
2022-03-22,10,2,4,6
2022-03-23,12,3,5,7
2022-03-24,11,2,4,6
2022-03-25,13,3,5,7
2022-03-26,10,2,4,6
2022-03-27,12,3,5,7
2022-03-28,11,2,4,6
2022-03-29,13,3,5,7
2022-03-30,10,2,4,6
2022-03-31,12,3,5,7
